,District,STATE,TEHSIL,Shape_Leng,Shape_Area,max,mean,count,sum
45,KINNAUR,HIMACHAL PRADESH,NICHAR,175200.166282,1104923831.54,0.15805983085632325,0.1419552315920425,1074,152.45991872985365
46,KULLU,HIMACHAL PRADESH,ANI,86685.0837449,286882261.42,0.3136923821687698,0.19665817806927308,277,54.47431532518864
47,KULLU,HIMACHAL PRADESH,BANJAR,120783.479717,539289150.149,0.18984095497131348,0.18560117055562084,521,96.69820985947845
48,KULLU,HIMACHAL PRADESH,BHUNTAR,270028.791942,2072572712.74,0.23561232352256775,0.18530774872741115,2019,374.1363446806431
49,KULLU,HIMACHAL PRADESH,KULLU,139488.301547,589462594.951,0.3384945094108582,0.22291919524745202,568,126.61810290055274
50,KULLU,HIMACHAL PRADESH,MANALI,131131.831245,754929152.076,0.3384945094108582,0.25930993323047524,736,190.85211085762978
51,KULLU,HIMACHAL PRADESH,NERMAND,112831.86885,412306168.515,0.3136923821687698,0.17831523997957757,404,72.03935695174934
52,KULLU,HIMACHAL PRADESH,SAINJ,179093.732241,723882294.122,0.18984095497131348,0.1785324707952197,703,125.50832696903944
53,LAHUL & SPITI,HIMACHAL PRADESH,LAHUL,619073.239131,6607881202.05,0.3323819703578949,0.20678326513365144,6466,1337.0605923541902
54,MANDI,HIMACHAL PRADESH,AUT,67901.725261,152922054.473,0.17757883770465852,0.16814972362323685,147,24.718009372615818
55,MANDI,HIMACHAL PRADESH,BALDWARA,53370.3099318,95711588.3732,0.17634261131286622,0.1763426113128662,94,16.576205463409423
56,MANDI,HIMACHAL PRADESH,BALH,110932.812375,224796541.537,0.17634261131286622,0.1573971013133679,218,34.3125680863142
57,MANDI,HIMACHAL PRADESH,BALICHAUKI,208784.762799,536983555.596,0.18704212222099303,0.15811278021016498,523,82.69298404991628
58,MANDI,HIMACHAL PRADESH,CHACHYOT,93196.5891255,236577902.291,0.18704212222099303,0.14747585296343113,232,34.21439788751602
59,MANDI,HIMACHAL PRADESH,DHARAMPUR,99073.8427644,179387662.716,0.22062070775032044,0.17090823153687076,172,29.396215824341773
60,MANDI,HIMACHAL PRADESH,JOGINDAR NAGAR,106934.715901,271474895.543,0.22062070775032044,0.21034873410777527,258,54.26997339980602
61,MANDI,HIMACHAL PRADESH,KARSOG,132181.265752,563269326.619,0.3136923821687698,0.20002537984451388,541,108.213730495882
62,MANDI,HIMACHAL PRADESH,KOTLI,43592.5270251,91162223.5845,0.1706175153017044,0.1622191748681394,88,14.275287388396265
63,MANDI,HIMACHAL PRADESH,LAD BHAROL,51376.754498,83008759.2762,0.22062070775032044,0.22062070775032044,83,18.311518743276597
64,MANDI,HIMACHAL PRADESH,NIHIRI,96058.7477532,256533922.52,0.1582027935743332,0.15025963379278184,250,37.56490844819546
65,MANDI,HIMACHAL PRADESH,PADHAR,127773.309389,403779981.299,0.22062070775032044,0.18742249491323398,395,74.03188549072742
66,MANDI,HIMACHAL PRADESH,SANDHOL,52190.6938867,50151879.8523,0.22062070775032044,0.17350231486604764,52,9.022120373034477
67,MANDI,HIMACHAL PRADESH,SARKAGHAT,63811.1149858,163069333.256,0.17634261131286622,0.1709731113272424,161,27.526670923686027
68,MANDI,HIMACHAL PRADESH,SUNDAR NAGAR,109258.039605,250848848.377,0.17634261131286622,0.15587784650718234,243,37.87831670124531
69,MANDI,HIMACHAL PRADESH,THUNAG,103584.856507,307461923.098,0.18704212222099303,0.1851715422634297,299,55.366291136765476
70,SHIMLA,HIMACHAL PRADESH,CHAUPAL,98249.8836627,301485874.957,0.39404748792648314,0.31263059531701665,294,91.9133950232029
71,SHIMLA,HIMACHAL PRADESH,CHIRGAON,127653.524402,631168281.701,0.3189760997772217,0.217517094002518,612,133.12046152954102
72,SHIMLA,HIMACHAL PRADESH,DODRA KWAR,102780.383207,346079791.56,0.18094171047210694,0.17156195089716508,332,56.95856769785881
73,SHIMLA,HIMACHAL PRADESH,JUBBAL,110862.871514,302631160.351,0.32302243845462797,0.3108167274383526,289,89.8260342296839
74,SHIMLA,HIMACHAL PRADESH,KOTKHAI,70894.792535,238491135.678,0.3136923821687698,0.3125315748351415,225,70.31960433790684
75,SHIMLA,HIMACHAL PRADESH,KUMHARSAIN,85459.5944996,215181953.832,0.3136923821687698,0.29865701917716436,210,62.71797402720451
76,SHIMLA,HIMACHAL PRADESH,KUPVI,68869.3430275,172339855.128,0.39404748792648314,0.374049861678963,167,62.46632690038682
77,SHIMLA,HIMACHAL PRADESH,NANKHARI,66414.4990542,139296483.731,0.3189760997772217,0.3145794296504808,137,43.09738186211587
78,SHIMLA,HIMACHAL PRADESH,NERUA,115952.658588,346849121.16,0.33440559573173523,0.31645057500045937,333,105.37804147515297
79,SHIMLA,HIMACHAL PRADESH,RAMPUR,178819.438228,827431674.133,0.3189760997772217,0.1639276511257372,799,130.97819324946403
80,SHIMLA,HIMACHAL PRADESH,ROHRU,84189.2264768,295446866.188,0.3189760997772217,0.3181771871491396,291,92.58956146039964
81,SHIMLA,HIMACHAL PRADESH,SHIMLA,155178.789862,488257032.257,0.25499461982250216,0.23328427217001685,477,111.27659782509804
82,SHIMLA,HIMACHAL PRADESH,SUNI,112210.79146,235636947.4,0.22598609805107117,0.2083034968832265,230,47.909804283142094
83,SHIMLA,HIMACHAL PRADESH,THEOG,137021.448691,466732347.302,0.3136923821687698,0.28208776494965215,456,128.6320208170414
84,SIRMAUR,HIMACHAL PRADESH,DADAHU,68582.8917859,128608025.082,0.4823666418075562,0.428602966807759,126,54.003973817777634
85,SIRMAUR,HIMACHAL PRADESH,KAMRAU,136620.96044,171350491.554,0.5458242578029633,0.47211986662858835,163,76.9555382604599
86,SIRMAUR,HIMACHAL PRADESH,NAHAN,261002.064083,283351911.946,0.4823666418075562,0.473023054460412,277,131.02738608553412
87,SIRMAUR,HIMACHAL PRADESH,NOHRA,79530.5846614,178959204.936,0.43387772283554077,0.4033261221950704,176,70.98539750633239
88,SIRMAUR,HIMACHAL PRADESH,PACHHAD,109219.802142,380926846.822,0.6764533633232117,0.47452553286320454,370,175.57444715938567
89,SIRMAUR,HIMACHAL PRADESH,R AJGARH,98037.471877,178556218.442,0.43387772283554077,0.39975016621670056,172,68.7570285892725
90,SIRMAUR,HIMACHAL PRADESH,RANHOT,86114.7321399,192234215.689,0.43387772283554077,0.2794280188561789,183,51.13532745068074
91,SIRMAUR,HIMACHAL PRADESH,RENUKA,104518.823706,289516350.082,0.43723638164997103,0.39886351564385053,278,110.88405734899045
