,ID,ind_ppp_UNadj,aged,young,sexratio,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,x,y,yr
19431,19431,3,0,0,938,NA,0,1,1,0,5,94.07698016,26.55080621,2022
19432,19432,4,0,0,938,NA,0,2,1,0,6,94.01877405,26.66105796,2022
19433,19433,5,0,0,938,NA,0,1,1,0,6,94.02576036,26.54800356,2022
19434,19434,3,0,0,938,NA,0,1,1,0,5,94.01139206,26.56460047,2022
19435,19435,3,0,0,938,NA,0,1,1,0,4,93.8968951,26.73360395,2022
19436,19436,4,0,0,933,NA,0,1,1,0,4,90.59328743,26.23100897,2022
19437,19437,2,0,0,938,NA,1,1,1,0,3,93.86881203,26.61969649,2022
19438,19438,3,0,0,938,NA,1,1,1,0,4,93.88808651,26.56885441,2022
19439,19439,3,0,0,938,NA,1,1,1,0,4,93.81237877,26.62148651,2022
19440,19440,3,0,0,938,NA,0,2,1,0,5,94.00186746,26.62074693,2022
19441,19441,4,0,0,938,NA,0,2,1,0,5,94.03194323,26.59785934,2022
19442,19442,4,0,0,938,NA,0,1,1,0,5,94.00645104,26.57798513,2022
19443,19443,3,0,0,938,NA,0,1,1,0,5,94.00542167,26.58484939,2022
19444,19444,3,0,0,938,NA,0,1,1,0,4,94.04752294,26.60587412,2022
19445,19445,15,1,2,938,1,1,5,4,1,21,94.05540871,26.58617021,2022
19446,19446,15,1,1,938,1,1,5,4,1,20,94.05511396,26.58188661,2022
19447,19447,18,1,2,938,1,1,6,5,1,25,94.0598214,26.58328271,2022
19448,19448,4,0,0,938,NA,0,1,1,0,6,94.06816769,26.57431031,2022
19449,19449,3,0,0,938,NA,0,1,1,0,4,94.06622523,26.57518433,2022
19450,19450,5,0,1,938,NA,0,2,1,0,7,94.06628573,26.55927183,2022
19451,19451,4,0,0,938,NA,0,1,1,0,6,94.0511254,26.55114759,2022
19452,19452,5,0,0,938,NA,0,2,1,0,6,94.06959444,26.57624962,2022
19453,19453,4,0,0,938,NA,0,1,1,0,5,94.09867573,26.54443641,2022
19454,19454,1,0,0,933,NA,0,0,0,0,1,90.47455188,26.36284738,2022
19455,19455,2,0,0,938,NA,0,1,1,0,3,93.56097154,26.65584919,2022
19456,19456,2,0,0,938,NA,0,1,1,0,3,93.56374042,26.65114874,2022
